setup,pretest_battery,dut_slot,sns_cal_version,POS0_ACCEL_MEAN_X,POS0_ACCEL_STDEV_X,POS0_GYRO_MEAN_X,POS0_GYRO_STDEV_X,POS0_ACCEL_MEAN_Y,POS0_ACCEL_STDEV_Y,POS0_GYRO_MEAN_Y,POS0_GYRO_STDEV_Y,POS0_ACCEL_MEAN_Z,POS0_ACCEL_STDEV_Z,POS0_GYRO_MEAN_Z,POS0_GYRO_STDEV_Z,POS1_ACCEL_MEAN_X,POS1_ACCEL_STDEV_X,POS1_GYRO_MEAN_X,POS1_GYRO_STDEV_X,POS1_ACCEL_MEAN_Y,POS1_ACCEL_STDEV_Y,POS1_GYRO_MEAN_Y,POS1_GYRO_STDEV_Y,POS1_ACCEL_MEAN_Z,POS1_ACCEL_STDEV_Z,POS1_GYRO_MEAN_Z,POS1_GYRO_STDEV_Z,POS2_ACCEL_MEAN_X,POS2_ACCEL_STDEV_X,POS2_GYRO_MEAN_X,POS2_GYRO_STDEV_X,POS2_ACCEL_MEAN_Y,POS2_ACCEL_STDEV_Y,POS2_GYRO_MEAN_Y,POS2_GYRO_STDEV_Y,POS2_ACCEL_MEAN_Z,POS2_ACCEL_STDEV_Z,POS2_GYRO_MEAN_Z,POS2_GYRO_STDEV_Z,POS3_ACCEL_MEAN_X,POS3_ACCEL_STDEV_X,POS3_GYRO_MEAN_X,POS3_GYRO_STDEV_X,POS3_ACCEL_MEAN_Y,POS3_ACCEL_STDEV_Y,POS3_GYRO_MEAN_Y,POS3_GYRO_STDEV_Y,POS3_ACCEL_MEAN_Z,POS3_ACCEL_STDEV_Z,POS3_GYRO_MEAN_Z,POS3_GYRO_STDEV_Z,POS4_ACCEL_MEAN_X,POS4_ACCEL_STDEV_X,POS4_GYRO_MEAN_X,POS4_GYRO_STDEV_X,POS4_ACCEL_MEAN_Y,POS4_ACCEL_STDEV_Y,POS4_GYRO_MEAN_Y,POS4_GYRO_STDEV_Y,POS4_ACCEL_MEAN_Z,POS4_ACCEL_STDEV_Z,POS4_GYRO_MEAN_Z,POS4_GYRO_STDEV_Z,POS5_ACCEL_MEAN_X,POS5_ACCEL_STDEV_X,POS5_GYRO_MEAN_X,POS5_GYRO_STDEV_X,POS5_ACCEL_MEAN_Y,POS5_ACCEL_STDEV_Y,POS5_GYRO_MEAN_Y,POS5_GYRO_STDEV_Y,POS5_ACCEL_MEAN_Z,POS5_ACCEL_STDEV_Z,POS5_GYRO_MEAN_Z,POS5_GYRO_STDEV_Z,ACCEL_SCALE_XX,ACCEL_SCALE_XY,ACCEL_SCALE_XZ,ACCEL_BIAS_X,ACCEL_BIAS_Y,ACCEL_BIAS_Z,GYRO_SCALE_XX,GYRO_SCALE_XY,GYRO_SCALE_XZ,GYRO_BIAS_X,GYRO_BIAS_Y,GYRO_BIAS_Z,ACCEL_SCALE_YX,ACCEL_SCALE_YY,ACCEL_SCALE_YZ,GYRO_SCALE_YX,GYRO_SCALE_YY,GYRO_SCALE_YZ,ACCEL_SCALE_ZX,ACCEL_SCALE_ZY,ACCEL_SCALE_ZZ,GYRO_SCALE_ZX,GYRO_SCALE_ZY,GYRO_SCALE_ZZ,GYRO_ROTATION_XX_STD,GYRO_ROTATION_XY_STD,GYRO_ROTATION_XZ_STD,GYRO_ROTATION_YX_STD,GYRO_ROTATION_YY_STD,GYRO_ROTATION_YZ_STD,GYRO_ROTATION_ZX_STD,GYRO_ROTATION_ZY_STD,GYRO_ROTATION_ZZ_STD,TEMP_MEAN,Calibration_result,mean_temp_exists,mean_temp_value
1,79,3,19.1,9.708863,0.028622,0.002924,0.0012,0.377857,0.015413,0.00264,0.001086,0.056494,0.011188,-0.00767,0.001375,-9.81012,0.040664,0.003021,0.001241,-0.026293,0.013178,0.002747,0.00112,0.119402,0.010699,-0.00763,0.001308,-0.256277,0.023164,0.002947,0.001196,9.87035,0.01834,0.002582,0.001018,0.058016,0.011166,-0.007669,0.00143,0.18204,0.020445,0.003101,0.001281,-9.564021,0.014674,0.002529,0.001025,0.128485,0.01225,-0.007458,0.001386,-0.019765,0.015404,0.003002,0.001251,0.118938,0.017187,0.002658,0.001014,9.943825,0.012044,-0.007538,0.001093,-0.100035,0.018619,0.003057,0.001215,0.131161,0.016803,0.00258,0.001039,-9.703224,0.013632,-0.007691,0.001303,1.001584,-0.032316,-0.034808,-0.050628,0.153164,0.1203,0.993337,-0.034011,-0.039614,-0.003009,0.002623,-0.007609,0.033626,1.006666,0.000734,0.03165,1.014477,-0.007023,0.036244,0.001793,0.995827,0.034211,-0.003791,1.0004,0.008932143046113217,0.002293571618378797,0.005529840507369919,0.001859848691164205,0.008437105975070273,0.00530223712560382,0.0018199331784430008,0.001286588597758083,0.01013936181655756,37.918358,1,1,0
1,79,3,19.1,9.708863,0.028622,0.002924,0.0012,0.377857,0.015413,0.00264,0.001086,0.056494,0.011188,-0.00767,0.001375,-9.81012,0.040664,0.003021,0.001241,-0.026293,0.013178,0.002747,0.00112,0.119402,0.010699,-0.00763,0.001308,-0.256277,0.023164,0.002947,0.001196,9.87035,0.01834,0.002582,0.001018,0.058016,0.011166,-0.007669,0.00143,0.18204,0.020445,0.003101,0.001281,-9.564021,0.014674,0.002529,0.001025,0.128485,0.01225,-0.007458,0.001386,-0.019765,0.015404,0.003002,0.001251,0.118938,0.017187,0.002658,0.001014,9.943825,0.012044,-0.007538,0.001093,-0.100035,0.018619,0.003057,0.001215,0.131161,0.016803,0.00258,0.001039,-9.703224,0.013632,-0.007691,0.001303,1.001584,-0.032316,-0.034808,-0.050628,0.153164,0.1203,0.993337,-0.034011,-0.039614,-0.003009,0.002623,-0.007609,0.033626,1.006666,0.000734,0.03165,1.014477,-0.007023,0.036244,0.001793,0.995827,0.034211,-0.003791,1.0004,0.008932143046113217,0.002293571618378797,0.005529840507369919,0.001859848691164205,0.008437105975070273,0.00530223712560382,0.0018199331784430008,0.001286588597758083,0.01013936181655756,37.918358,1,1,0
1,79,3,19.1,9.708863,0.028622,0.002924,0.0012,0.377857,0.015413,0.00264,0.001086,0.056494,0.011188,-0.00767,0.001375,-9.81012,0.040664,0.003021,0.001241,-0.026293,0.013178,0.002747,0.00112,0.119402,0.010699,-0.00763,0.001308,-0.256277,0.023164,0.002947,0.001196,9.87035,0.01834,0.002582,0.001018,0.058016,0.011166,-0.007669,0.00143,0.18204,0.020445,0.003101,0.001281,-9.564021,0.014674,0.002529,0.001025,0.128485,0.01225,-0.007458,0.001386,-0.019765,0.015404,0.003002,0.001251,0.118938,0.017187,0.002658,0.001014,9.943825,0.012044,-0.007538,0.001093,-0.100035,0.018619,0.003057,0.001215,0.131161,0.016803,0.00258,0.001039,-9.703224,0.013632,-0.007691,0.001303,1.001584,-0.032316,-0.034808,-0.050628,0.153164,0.1203,0.993337,-0.034011,-0.039614,-0.003009,0.002623,-0.007609,0.033626,1.006666,0.000734,0.03165,1.014477,-0.007023,0.036244,0.001793,0.995827,0.034211,-0.003791,1.0004,0.008932143046113217,0.002293571618378797,0.005529840507369919,0.001859848691164205,0.008437105975070273,0.00530223712560382,0.0018199331784430008,0.001286588597758083,0.01013936181655756,37.918358,1,1,0
1,79,3,19.1,9.708863,0.028622,0.002924,0.0012,0.377857,0.015413,0.00264,0.001086,0.056494,0.011188,-0.00767,0.001375,-9.81012,0.040664,0.003021,0.001241,-0.026293,0.013178,0.002747,0.00112,0.119402,0.010699,-0.00763,0.001308,-0.256277,0.023164,0.002947,0.001196,9.87035,0.01834,0.002582,0.001018,0.058016,0.011166,-0.007669,0.00143,0.18204,0.020445,0.003101,0.001281,-9.564021,0.014674,0.002529,0.001025,0.128485,0.01225,-0.007458,0.001386,-0.019765,0.015404,0.003002,0.001251,0.118938,0.017187,0.002658,0.001014,9.943825,0.012044,-0.007538,0.001093,-0.100035,0.018619,0.003057,0.001215,0.131161,0.016803,0.00258,0.001039,-9.703224,0.013632,-0.007691,0.001303,1.001584,-0.032316,-0.034808,-0.050628,0.153164,0.1203,0.993337,-0.034011,-0.039614,-0.003009,0.002623,-0.007609,0.033626,1.006666,0.000734,0.03165,1.014477,-0.007023,0.036244,0.001793,0.995827,0.034211,-0.003791,1.0004,0.008932143046113217,0.002293571618378797,0.005529840507369919,0.001859848691164205,0.008437105975070273,0.00530223712560382,0.0018199331784430008,0.001286588597758083,0.01013936181655756,37.918358,1,1,0
1,79,3,19.1,9.708863,0.028622,0.002924,0.0012,0.377857,0.015413,0.00264,0.001086,0.056494,0.011188,-0.00767,0.001375,-9.81012,0.040664,0.003021,0.001241,-0.026293,0.013178,0.002747,0.00112,0.119402,0.010699,-0.00763,0.001308,-0.256277,0.023164,0.002947,0.001196,9.87035,0.01834,0.002582,0.001018,0.058016,0.011166,-0.007669,0.00143,0.18204,0.020445,0.003101,0.001281,-9.564021,0.014674,0.002529,0.001025,0.128485,0.01225,-0.007458,0.001386,-0.019765,0.015404,0.003002,0.001251,0.118938,0.017187,0.002658,0.001014,9.943825,0.012044,-0.007538,0.001093,-0.100035,0.018619,0.003057,0.001215,0.131161,0.016803,0.00258,0.001039,-9.703224,0.013632,-0.007691,0.001303,1.001584,-0.032316,-0.034808,-0.050628,0.153164,0.1203,0.993337,-0.034011,-0.039614,-0.003009,0.002623,-0.007609,0.033626,1.006666,0.000734,0.03165,1.014477,-0.007023,0.036244,0.001793,0.995827,0.034211,-0.003791,1.0004,0.008932143046113217,0.002293571618378797,0.005529840507369919,0.001859848691164205,0.008437105975070273,0.00530223712560382,0.0018199331784430008,0.001286588597758083,0.01013936181655756,37.918358,1,1,0
1,79,3,19.1,9.708863,0.028622,0.002924,0.0012,0.377857,0.015413,0.00264,0.001086,0.056494,0.011188,-0.00767,0.001375,-9.81012,0.040664,0.003021,0.001241,-0.026293,0.013178,0.002747,0.00112,0.119402,0.010699,-0.00763,0.001308,-0.256277,0.023164,0.002947,0.001196,9.87035,0.01834,0.002582,0.001018,0.058016,0.011166,-0.007669,0.00143,0.18204,0.020445,0.003101,0.001281,-9.564021,0.014674,0.002529,0.001025,0.128485,0.01225,-0.007458,0.001386,-0.019765,0.015404,0.003002,0.001251,0.118938,0.017187,0.002658,0.001014,9.943825,0.012044,-0.007538,0.001093,-0.100035,0.018619,0.003057,0.001215,0.131161,0.016803,0.00258,0.001039,-9.703224,0.013632,-0.007691,0.001303,1.001584,-0.032316,-0.034808,-0.050628,0.153164,0.1203,0.993337,-0.034011,-0.039614,-0.003009,0.002623,-0.007609,0.033626,1.006666,0.000734,0.03165,1.014477,-0.007023,0.036244,0.001793,0.995827,0.034211,-0.003791,1.0004,0.008932143046113217,0.002293571618378797,0.005529840507369919,0.001859848691164205,0.008437105975070273,0.00530223712560382,0.0018199331784430008,0.001286588597758083,0.01013936181655756,37.918358,1,1,0
1,79,3,19.1,9.708863,0.028622,0.002924,0.0012,0.377857,0.015413,0.00264,0.001086,0.056494,0.011188,-0.00767,0.001375,-9.81012,0.040664,0.003021,0.001241,-0.026293,0.013178,0.002747,0.00112,0.119402,0.010699,-0.00763,0.001308,-0.256277,0.023164,0.002947,0.001196,9.87035,0.01834,0.002582,0.001018,0.058016,0.011166,-0.007669,0.00143,0.18204,0.020445,0.003101,0.001281,-9.564021,0.014674,0.002529,0.001025,0.128485,0.01225,-0.007458,0.001386,-0.019765,0.015404,0.003002,0.001251,0.118938,0.017187,0.002658,0.001014,9.943825,0.012044,-0.007538,0.001093,-0.100035,0.018619,0.003057,0.001215,0.131161,0.016803,0.00258,0.001039,-9.703224,0.013632,-0.007691,0.001303,1.001584,-0.032316,-0.034808,-0.050628,0.153164,0.1203,0.993337,-0.034011,-0.039614,-0.003009,0.002623,-0.007609,0.033626,1.006666,0.000734,0.03165,1.014477,-0.007023,0.036244,0.001793,0.995827,0.034211,-0.003791,1.0004,0.008932143046113217,0.002293571618378797,0.005529840507369919,0.001859848691164205,0.008437105975070273,0.00530223712560382,0.0018199331784430008,0.001286588597758083,0.01013936181655756,37.918358,1,1,0
1,79,3,19.1,9.708863,0.028622,0.002924,0.0012,0.377857,0.015413,0.00264,0.001086,0.056494,0.011188,-0.00767,0.001375,-9.81012,0.040664,0.003021,0.001241,-0.026293,0.013178,0.002747,0.00112,0.119402,0.010699,-0.00763,0.001308,-0.256277,0.023164,0.002947,0.001196,9.87035,0.01834,0.002582,0.001018,0.058016,0.011166,-0.007669,0.00143,0.18204,0.020445,0.003101,0.001281,-9.564021,0.014674,0.002529,0.001025,0.128485,0.01225,-0.007458,0.001386,-0.019765,0.015404,0.003002,0.001251,0.118938,0.017187,0.002658,0.001014,9.943825,0.012044,-0.007538,0.001093,-0.100035,0.018619,0.003057,0.001215,0.131161,0.016803,0.00258,0.001039,-9.703224,0.013632,-0.007691,0.001303,1.001584,-0.032316,-0.034808,-0.050628,0.153164,0.1203,0.993337,-0.034011,-0.039614,-0.003009,0.002623,-0.007609,0.033626,1.006666,0.000734,0.03165,1.014477,-0.007023,0.036244,0.001793,0.995827,0.034211,-0.003791,1.0004,0.008932143046113217,0.002293571618378797,0.005529840507369919,0.001859848691164205,0.008437105975070273,0.00530223712560382,0.0018199331784430008,0.001286588597758083,0.01013936181655756,37.918358,1,1,0
1,79,3,19.1,9.708863,0.028622,0.002924,0.0012,0.377857,0.015413,0.00264,0.001086,0.056494,0.011188,-0.00767,0.001375,-9.81012,0.040664,0.003021,0.001241,-0.026293,0.013178,0.002747,0.00112,0.119402,0.010699,-0.00763,0.001308,-0.256277,0.023164,0.002947,0.001196,9.87035,0.01834,0.002582,0.001018,0.058016,0.011166,-0.007669,0.00143,0.18204,0.020445,0.003101,0.001281,-9.564021,0.014674,0.002529,0.001025,0.128485,0.01225,-0.007458,0.001386,-0.019765,0.015404,0.003002,0.001251,0.118938,0.017187,0.002658,0.001014,9.943825,0.012044,-0.007538,0.001093,-0.100035,0.018619,0.003057,0.001215,0.131161,0.016803,0.00258,0.001039,-9.703224,0.013632,-0.007691,0.001303,1.001584,-0.032316,-0.034808,-0.050628,0.153164,0.1203,0.993337,-0.034011,-0.039614,-0.003009,0.002623,-0.007609,0.033626,1.006666,0.000734,0.03165,1.014477,-0.007023,0.036244,0.001793,0.995827,0.034211,-0.003791,1.0004,0.008932143046113217,0.002293571618378797,0.005529840507369919,0.001859848691164205,0.008437105975070273,0.00530223712560382,0.0018199331784430008,0.001286588597758083,0.01013936181655756,37.918358,1,1,0
1,79,3,19.1,9.708863,0.028622,0.002924,0.0012,0.377857,0.015413,0.00264,0.001086,0.056494,0.011188,-0.00767,0.001375,-9.81012,0.040664,0.003021,0.001241,-0.026293,0.013178,0.002747,0.00112,0.119402,0.010699,-0.00763,0.001308,-0.256277,0.023164,0.002947,0.001196,9.87035,0.01834,0.002582,0.001018,0.058016,0.011166,-0.007669,0.00143,0.18204,0.020445,0.003101,0.001281,-9.564021,0.014674,0.002529,0.001025,0.128485,0.01225,-0.007458,0.001386,-0.019765,0.015404,0.003002,0.001251,0.118938,0.017187,0.002658,0.001014,9.943825,0.012044,-0.007538,0.001093,-0.100035,0.018619,0.003057,0.001215,0.131161,0.016803,0.00258,0.001039,-9.703224,0.013632,-0.007691,0.001303,1.001584,-0.032316,-0.034808,-0.050628,0.153164,0.1203,0.993337,-0.034011,-0.039614,-0.003009,0.002623,-0.007609,0.033626,1.006666,0.000734,0.03165,1.014477,-0.007023,0.036244,0.001793,0.995827,0.034211,-0.003791,1.0004,0.008932143046113217,0.002293571618378797,0.005529840507369919,0.001859848691164205,0.008437105975070273,0.00530223712560382,0.0018199331784430008,0.001286588597758083,0.01013936181655756,37.918358,1,1,0
1,79,3,19.1,9.708863,0.028622,0.002924,0.0012,0.377857,0.015413,0.00264,0.001086,0.056494,0.011188,-0.00767,0.001375,-9.81012,0.040664,0.003021,0.001241,-0.026293,0.013178,0.002747,0.00112,0.119402,0.010699,-0.00763,0.001308,-0.256277,0.023164,0.002947,0.001196,9.87035,0.01834,0.002582,0.001018,0.058016,0.011166,-0.007669,0.00143,0.18204,0.020445,0.003101,0.001281,-9.564021,0.014674,0.002529,0.001025,0.128485,0.01225,-0.007458,0.001386,-0.019765,0.015404,0.003002,0.001251,0.118938,0.017187,0.002658,0.001014,9.943825,0.012044,-0.007538,0.001093,-0.100035,0.018619,0.003057,0.001215,0.131161,0.016803,0.00258,0.001039,-9.703224,0.013632,-0.007691,0.001303,1.001584,-0.032316,-0.034808,-0.050628,0.153164,0.1203,0.993337,-0.034011,-0.039614,-0.003009,0.002623,-0.007609,0.033626,1.006666,0.000734,0.03165,1.014477,-0.007023,0.036244,0.001793,0.995827,0.034211,-0.003791,1.0004,0.008932143046113217,0.002293571618378797,0.005529840507369919,0.001859848691164205,0.008437105975070273,0.00530223712560382,0.0018199331784430008,0.001286588597758083,0.01013936181655756,37.918358,1,1,0
1,79,3,19.1,9.708863,0.028622,0.002924,0.0012,0.377857,0.015413,0.00264,0.001086,0.056494,0.011188,-0.00767,0.001375,-9.81012,0.040664,0.003021,0.001241,-0.026293,0.013178,0.002747,0.00112,0.119402,0.010699,-0.00763,0.001308,-0.256277,0.023164,0.002947,0.001196,9.87035,0.01834,0.002582,0.001018,0.058016,0.011166,-0.007669,0.00143,0.18204,0.020445,0.003101,0.001281,-9.564021,0.014674,0.002529,0.001025,0.128485,0.01225,-0.007458,0.001386,-0.019765,0.015404,0.003002,0.001251,0.118938,0.017187,0.002658,0.001014,9.943825,0.012044,-0.007538,0.001093,-0.100035,0.018619,0.003057,0.001215,0.131161,0.016803,0.00258,0.001039,-9.703224,0.013632,-0.007691,0.001303,1.001584,-0.032316,-0.034808,-0.050628,0.153164,0.1203,0.993337,-0.034011,-0.039614,-0.003009,0.002623,-0.007609,0.033626,1.006666,0.000734,0.03165,1.014477,-0.007023,0.036244,0.001793,0.995827,0.034211,-0.003791,1.0004,0.008932143046113217,0.002293571618378797,0.005529840507369919,0.001859848691164205,0.008437105975070273,0.00530223712560382,0.0018199331784430008,0.001286588597758083,0.01013936181655756,37.918358,1,1,0
